Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,555.680008,557.029999,552.020004,553.12999,58671200,75.224743
2013-12-31,554.170013,561.279976,554.000023,561.019997,55771100,76.297771
2013-12-30,557.460022,560.089989,552.319984,554.519981,63407400,75.41378
2013-12-27,563.820007,564.409981,559.500015,560.089989,56471100,76.171291
2013-12-26,568.099998,569.499977,563.379997,563.900009,51002000,76.689447
2013-12-24,569.889999,571.880005,566.029991,567.669975,41888700,77.202157
2013-12-23,568.000023,570.719978,562.76001,570.090004,125326600,77.531276
2013-12-20,545.43,551.610008,544.82,549.019989,109103400,74.66579
2013-12-19,549.50,549.999985,543.729988,544.459991,80077200,74.045638
2013-12-18,549.700005,551.450005,538.799995,550.769989,141465800,74.903787
2013-12-17,555.809998,559.439987,553.379982,554.990005,57475600,75.477702
2013-12-16,555.02002,562.640007,555.009979,557.500023,70648200,75.81906
2013-12-13,562.849998,562.880013,553.669975,554.429993,83205500,75.401541
2013-12-12,562.140022,565.339989,560.030014,560.539986,65572500,76.23249
2013-12-11,567.00,570.970024,559.68998,561.359978,89929700,76.344008
2013-12-10,563.580002,567.88002,561.199974,565.54998,69567400,76.913841
2013-12-09,560.899994,569.579979,560.899994,566.43,80123400,77.033522
2013-12-06,565.789986,566.750008,559.569977,560.019974,86088100,76.161769
2013-12-05,572.650009,575.139999,566.410027,567.899994,111895000,77.233439
2013-12-04,565.499992,569.19001,560.819992,565.000008,94452400,76.839045
2013-12-03,558.299988,566.380013,557.68,566.319984,112742000,77.01856
2013-12-02,558.000008,564.329979,550.819977,551.230026,118136200,74.966351
2013-11-29,549.480026,558.330002,547.809975,556.069977,79531900,75.624576
2013-11-27,536.310005,546.00,533.399979,545.959999,90862100,74.249636
2013-11-26,524.11998,536.140015,523.999977,533.399979,100345700,72.541495
2013-11-25,521.019989,525.86998,521.000015,523.739998,57327900,71.227754
2013-11-22,519.519981,522.159988,518.529999,519.799988,55931400,70.691919
2013-11-21,517.599991,521.210007,513.670021,521.139992,65506700,70.874157
2013-11-20,519.229988,520.419975,514.330009,514.999985,48479200,70.039127
2013-11-19,519.029984,523.37999,517.969986,519.549995,52234700,70.657921
2013-11-18,524.990013,527.19001,518.200005,518.629974,61236000,70.532799
2013-11-15,526.580009,529.089973,524.489975,524.990013,79480100,71.397754
2013-11-14,522.80999,529.279991,521.869995,528.160019,70604800,71.828869
2013-11-13,518.00,522.249977,516.959976,520.63002,49305200,70.804802
2013-11-12,517.670006,523.919975,516.999977,520.009979,51069200,70.720478
2013-11-11,519.990005,521.669991,514.410011,519.050011,56863100,70.589924
2013-11-08,514.580002,521.130005,512.589996,520.560005,69829200,70.79528
2013-11-07,519.580009,523.190025,512.380005,512.490021,65655100,69.697776
2013-11-06,524.149994,524.860023,518.200005,520.920013,55843900,70.844241
2013-11-05,524.580017,528.890022,523.000008,525.449997,66303300,71.045519
2013-11-04,521.099991,526.820015,518.810005,526.75,61156900,71.221291
2013-11-01,524.020004,524.799995,515.840004,520.030006,68722500,70.312688
2013-10-31,525.00,527.48999,521.269981,522.699974,68924100,70.673691
2013-10-30,519.610023,527.520004,517.020004,524.900024,88540900,70.971157
2013-10-29,536.270004,539.249992,514.540001,516.680023,158951800,69.85974
2013-10-28,529.039986,530.999977,523.209999,529.880005,137610200,71.644495
2013-10-25,531.319984,533.229988,525.110016,525.960022,84448000,71.114479
2013-10-24,525.00,532.470024,522.449982,531.910011,96191200,71.91897
2013-10-23,519.000023,525.669975,519.000023,524.959999,78430800,70.979267
2013-10-22,526.410019,528.450012,508.029999,519.870003,133515900,70.291054
2013-10-21,511.770004,524.300011,511.520012,521.360023,99526700,70.492518
2013-10-18,505.990005,509.259987,505.709999,508.889992,72635500,68.806458
2013-10-17,499.979988,504.779991,499.680008,504.499985,63398300,68.21289
2013-10-16,500.789993,502.530006,499.230011,501.110001,62775300,67.754534
2013-10-15,497.510025,502.000008,495.52002,498.679985,80018400,67.425975
2013-10-14,489.830009,497.579987,489.349998,496.039978,65474500,67.069022
2013-10-11,486.989998,493.839981,485.159996,492.809998,66934700,66.6323
2013-10-10,491.319977,492.379974,487.039986,489.639992,69650700,66.203687
2013-10-09,484.639984,487.790016,478.279999,486.589989,75431300,65.791299
2013-10-08,489.940025,490.640015,480.540024,480.93998,72729300,65.027368
2013-10-07,486.559975,492.649994,485.350014,487.750015,78073100,65.948145
2013-10-04,483.859993,484.599983,478.600006,483.030014,64717100,65.309959
2013-10-03,490.510025,492.350014,480.739975,483.409996,80688300,65.361336
2013-10-02,485.63002,491.799988,483.749977,489.55999,72296000,66.19287
2013-10-01,478.449989,489.140007,478.379974,487.960007,88470900,65.976538
2013-09-30,477.250015,481.659996,474.410004,476.749977,65039100,64.460842
2013-09-27,483.779991,484.669998,480.720001,482.750008,57010100,65.2721
2013-09-26,486.000015,488.56002,483.899994,486.219994,59305400,65.741273
2013-09-25,489.199982,489.639992,481.429977,481.530006,79239300,65.107145
2013-09-24,494.880005,495.469978,487.819977,489.100006,91086100,66.130676
2013-09-23,496.100006,496.910011,482.599991,490.640015,190526700,66.338899
2013-09-20,477.999992,478.550018,465.999985,467.410004,174825700,63.197995
2013-09-19,470.700012,475.830009,469.249992,472.299995,101135300,63.859165
2013-09-18,463.18,466.350006,460.659996,464.680008,114215500,62.828875
2013-09-17,447.959999,459.710014,447.499989,455.320007,99845200,61.563319
2013-09-16,460.999977,461.609978,447.220009,450.119995,135926700,60.860232
2013-09-13,469.339981,471.830025,464.699982,464.899986,74708900,62.858618
2013-09-12,468.500015,475.399986,466.010025,472.690018,101012800,63.9119
2013-09-11,467.009995,473.689987,464.809998,467.709984,224674100,63.238555
2013-09-10,506.199997,507.450012,489.500015,494.639999,185798900,66.879733
2013-09-09,505.000023,507.919983,503.479988,506.169983,85171800,68.438689
2013-09-06,498.43998,499.379974,489.950012,498.220001,89881400,67.363781
2013-09-05,500.250008,500.679977,493.639977,495.269974,59091900,66.964911
2013-09-04,499.560005,502.240013,496.279984,498.690025,86258200,67.427332
